Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Right -8.54 18.58 259.25 67.92 SBa 23073 100 1071 589069 435
Bottom 1.91 17.59 96.19 158.54 SBa 17668 99 1066 563793 362
Bottom 2.49 17.95 97.91 158.07 SBc 18117 66 855 306406 252
Bottom 2.43 18.31 97.55 157.68 Sa 17847 90 1030 491121 279
Back -15.66 -42.92 340.81 132.01 S0 9398 92 1141 430472 208
Bottom 18.08 -3.45 190.81 157.75 E2 26395 167 1378 2369320 644
Bottom 18.24 -2.47 187.71 157.75 SBb 26959 88 987 533757 312
Bottom 18.55 -2.40 187.37 157.43 SBc 26201 67 910 316195 269
Bottom 16.89 -3.30 191.06 159.07 S0 26120 78 1122 349588 207
Bottom 19.18 -4.44 193.03 156.37 Sb 26345 78 823 411196 290
Bottom 18.05 -3.99 192.47 157.67 SBb 26407 70 1081 473230 529
Bottom 18.42 -3.98 192.20 157.27 SBa 25402 100 1123 626412 466
Left -2.01 -18.45 87.44 112.27 cD 2000 247 1670 7404046 729
Left 3.29 17.87 94.18 68.40 S0 2484 98 1030 510713 218
Left -5.82 -9.47 82.63 101.78 E4 3144 106 1094 686877 455
Left -26.91 -32.87 59.12 122.08 SBc 2794 75 920 435406 279
Left -9.67 -22.59 77.87 116.14 Sa 3701 81 957 416920 321
Left -25.81 -20.45 60.16 111.52 Sa 3231 74 836 357087 279
Bottom -9.35 34.24 74.73 141.73 SBb 3006 87 983 496716 335
Back 39.13 -33.09 41.01 119.03 SBb 1881 71 1180 458247 429
Bottom -35.92 27.50 37.44 134.85 Sb 1322 73 906 367818 331
Left 18.17 -42.41 111.98 131.15 SBc 1407 74 928 362439 260
Bottom -2.99 35.23 85.15 141.84 Sc 2541 76 776 313779 231
Left 7.14 -17.14 99.01 110.61 S0 3641 86 1049 396912 195
Left 7.24 -38.64 99.14 130.29 SBc 1741 66 835 299381 237
Left 7.09 29.98 98.95 56.65 SBb 1096 91 942 511693 315
Front -0.00 -0.00 180.00 90.00 SBb 47 86 994 461029 394
