Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Right 0.21 -20.21 270.26 114.18 1 254577 200 16402
Left -0.84 -4.75 88.93 96.02 2 296268 356 88200
Front -17.09 -30.25 159.20 122.15 1 332810 200 20802
Left 17.05 -9.67 110.75 101.36 2 233150 356 93853
Top -24.16 3.42 351.94 28.47 1 422871 200 19726
Right 19.69 -29.62 293.63 121.09 2 118920 356 85246
Bottom 30.10 8.73 163.83 145.15 1 318287 200 17788
Back -10.11 -7.47 347.34 99.20 19 160448 2326 17712650
Right -0.71 -14.79 269.09 108.19 16 335503 2016 11294475
Bottom 16.89 -0.67 182.28 159.42 4 291881 635 341849
Front -25.14 8.10 150.81 81.07 5 252098 765 741135
Bottom -1.44 -30.10 272.75 146.19 6 234322 890 955359
Bottom -5.81 -9.55 301.30 166.05 1 298403 200 17617
Back -23.35 -16.80 332.58 108.34 4 318701 635 441306
Left 28.15 9.91 122.03 79.43 20 197330 2428 18665564
Bottom -7.14 -24.42 286.29 150.51 1 382345 200 20414
Left 1.42 -26.21 91.80 120.21 2 329346 356 85963
Front -36.75 4.11 140.76 85.96 2 337774 356 81680
Back -8.95 -14.52 348.75 107.56 1 356820 200 16462
Bottom 8.83 5.51 148.06 166.98 19 373970 2326 17240979
Left -34.71 -3.00 52.35 93.03 16 196525 2016 10972434
Back 9.54 -34.93 11.97 127.21 1 386591 200 17763
Back -27.47 29.07 328.60 61.12 25 56490 2924 37316129
Back -28.66 20.90 327.50 68.61 3 335477 500 199843
Top 11.69 2.61 192.60 14.91 4 216315 635 446828
Left -32.62 -24.19 54.06 113.52 13 141703 1696 7428804
Left -10.93 -43.31 76.35 133.08 11 248357 1475 4649843
Back 16.30 36.67 19.91 52.54 4 170745 635 464655
Front 2.74 31.31 183.48 55.22 1 335066 200 20989
Bottom -15.81 -38.86 292.13 137.01 12 201749 1586 5784492
Right 27.91 -1.18 301.81 91.28 7 265174 1012 1542812
Top -10.95 20.18 298.48 27.03 3 214425 500 213125
Bottom -8.08 22.56 70.30 151.96 1 208058 200 20352
Front 23.56 -39.12 207.64 127.60 4 315489 635 421939
Top -33.18 -0.36 0.62 36.40 2 308132 356 92828
Back 15.47 37.26 18.98 51.94 5 287730 765 632541
Right -35.99 23.45 231.35 67.85 1 232011 200 18419
Right 30.95 -13.19 304.52 103.58 11 247411 1475 4466206
Back -14.17 18.89 342.52 68.17 15 328068 1910 10594141
Right -24.51 23.57 241.43 65.30 12 222713 1586 5654850
Bottom 14.77 -7.72 207.59 159.68 19 228023 2326 18975510
Right 23.22 -16.27 297.30 107.82 2 214013 356 75450
Right -25.39 16.26 240.57 72.53 14 379383 1804 9010729
Front -26.17 5.58 149.82 83.88 5 171377 765 771520
Front 2.73 -36.42 183.47 128.94 21 364859 2529 22111616
Bottom -28.85 -9.10 342.50 146.09 1 288001 200 19799
Bottom 23.13 -2.65 186.53 152.64 10 310729 1363 3283775
Bottom 42.80 -17.28 201.98 134.27 1 90267 200 22801
Back 6.27 -11.13 7.94 103.76 9 197264 1248 2417931
Left 8.37 15.39 100.53 71.41 6 382166 890 1026994
Back 18.96 -4.75 22.85 95.56 1 381222 200 21089
Top 23.23 11.19 205.72 29.81 5 283972 765 687558
Right 36.41 -30.08 308.98 117.46 8 65203 1131 1915497
Front -44.79 8.48 135.13 82.39 1 306274 200 14170
Bottom -21.17 12.98 31.50 151.11 1 267572 200 19306
Front 42.61 42.34 223.44 55.66 7 332291 1012 1571381
Bottom -9.31 -20.63 294.28 153.30 21 356712 2529 20741918
Left -14.12 10.68 72.57 77.24 3 252808 500 202584
Left 25.90 18.48 119.92 70.41 16 180605 2016 12293068
Front -43.64 -38.48 135.88 121.54 4 369397 635 406819
Left -4.47 41.52 84.33 47.44 3 295227 500 234339
Front -39.80 10.65 138.51 79.95 22 417451 2629 27915215
Top 41.15 -35.19 139.46 50.27 8 402036 1131 2050900
Top -39.19 -4.38 6.38 41.23 12 300514 1586 5463021
Bottom 27.10 18.67 145.44 143.82 7 149958 1012 1677793
Left -2.01 -18.45 87.44 112.27 15 2000 1910 224610194
