Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Back 24.34 28.52 28.41 60.86 SBa 23089 84 975 468073 370
Back 20.49 26.44 24.48 61.86 E1 27144 160 1465 2133523 786
Back 20.33 21.44 24.31 66.53 E5 24801 90 1068 485553 472
Back 14.04 28.84 17.32 58.54 S0 25653 80 1150 369480 191
Back 22.26 21.27 26.32 67.04 SBa 28087 76 1057 469677 462
Back 24.54 34.92 28.60 55.74 SBc 24827 73 914 347093 270
Back 22.55 28.90 26.61 60.14 SBc 25151 85 1080 508406 274
Back 23.93 24.87 28.00 63.98 SBa 29521 104 993 677301 417
Back 24.92 29.77 28.98 59.94 SBb 28858 87 822 416690 300
Back 16.19 29.82 19.78 58.06 Sb 28432 70 774 302161 261
Back 23.49 25.30 27.57 63.51 SBb 28711 82 1019 511407 347
Back 22.82 20.77 26.89 67.62 SBa 25980 85 1170 505367 395
Back 20.70 29.55 24.70 59.18 SBb 29253 81 1079 523425 344
Top -7.31 -29.11 75.91 33.70 SBc 15435 76 882 321574 252
Top -8.92 -26.00 71.07 31.42 SBb 15465 81 1144 513952 416
Top -8.45 -26.54 72.34 31.75 E4 15762 122 1152 960689 438
Top -5.68 -27.61 78.37 32.06 E7 16052 65 750 233301 299
Back -8.70 -24.18 349.06 117.81 SBc 23662 79 934 408133 276
Back -7.86 -24.91 350.09 118.61 SBb 23538 94 1104 535334 405
Back -7.72 -25.34 350.26 119.03 SBc 23849 76 954 369069 315
Left 27.40 -20.36 121.34 111.13 SBc 14900 84 846 449001 213
Left 25.90 -18.54 119.92 109.65 E5 14852 103 983 635089 440
Left 25.14 -19.73 119.19 110.94 S0 15009 98 1116 539968 204
Left 25.26 -19.62 119.31 110.82 SBa 14604 92 1283 591994 365
Back 42.59 8.10 43.43 82.56 cD 21968 194 2056 3598910 1196
Back 43.55 4.88 44.06 85.54 E4 20734 119 1145 949088 601
Left -43.46 7.07 46.00 83.56 SBc 19800 74 921 348413 251
Back 41.91 9.46 42.96 81.26 E6 24428 84 915 452673 424
Back 43.00 8.38 43.70 82.33 Sc 22973 66 821 303666 264
Left -43.45 5.73 46.01 84.77 SBc 21061 73 845 359005 308
Back 42.51 11.60 43.37 79.38 SBb 23473 82 1108 469726 385
Left -42.17 15.03 46.86 76.30 SBa 21686 74 1018 393181 316
Left -38.27 10.94 49.62 79.51 SBc 22363 74 900 358186 219
Left -42.22 3.05 46.82 87.17 SBc 19954 79 834 364246 220
Back 38.72 4.65 40.71 85.52 SBa 22421 105 1146 760764 431
Left -42.82 9.13 46.42 81.64 SBa 23973 97 1187 628521 451
Back 35.67 7.33 38.40 82.72 SBc 22703 79 857 418811 314
Left -43.30 13.00 46.10 78.24 Sb 23906 70 944 349514 341
Back 34.23 9.98 37.26 79.99 Sc 22329 64 654 239535 209
Back 44.69 1.46 44.80 88.68 SBb 21495 84 1325 584103 582
Left -42.16 12.60 46.86 78.45 SBc 20803 83 832 380739 238
Back 37.03 6.28 39.45 83.84 E4 21752 106 1157 741311 476
Left -40.76 9.24 47.83 81.34 SBb 20856 92 1008 495744 381
Back 36.49 4.91 39.04 85.15 Sb 20718 63 862 307592 272
Left -44.57 4.53 45.27 85.91 SBa 21750 79 1052 461855 289
Left -42.93 6.94 46.35 83.63 SBa 24497 86 1137 512304 408
Back 43.85 7.00 44.26 83.64 SBa 22920 88 952 466677 325
Right -34.69 -39.86 232.37 125.05 cD 2000 117 1898 1078407 1093
Right -29.91 -8.74 236.39 99.19 SBc 3401 67 852 311693 291
Right -12.46 -31.91 254.53 124.35 Sa 3208 77 1090 455277 379
Right -39.49 -31.52 228.73 117.76 E1 1614 172 1506 2801731 695
Right -21.19 -5.03 244.78 95.78 SBa 2610 105 969 677280 381
Right -39.68 -15.99 228.59 104.92 SBa 3658 87 1330 597084 426
Bottom 29.68 7.29 166.20 145.81 Sb 1649 81 851 408145 343
Front 20.19 -24.24 204.16 116.17 SBa 1625 92 1119 585842 383
Bottom 7.60 -2.24 196.40 170.02 SBb 2370 88 1151 497298 435
Bottom 43.90 -32.10 216.17 129.61 Sc 1277 68 790 287409 244
Bottom 26.58 -18.34 214.61 144.34 E3 2373 142 1300 1412807 596
Right 4.26 -33.91 275.41 126.88 SBb 3081 81 1125 470467 425
Front -26.74 -40.93 149.28 128.03 SBc 1306 74 933 404603 304
Bottom 40.27 -17.08 202.98 135.81 Sc 3595 65 821 293896 244
Front -0.00 -0.00 180.00 90.00 SBa 37 71 1161 473068 407
