Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Right 10.98 21.88 283.71 64.72 6 210200 890 1035684
Right 31.08 42.03 304.63 52.46 5 318655 765 683457
Back 18.64 -37.29 22.50 127.44 4 265713 635 426284
Back -12.26 41.71 344.76 48.19 3 140699 500 219811
Top -27.45 33.91 309.00 44.11 4 223650 635 357702
Back 7.72 -9.13 9.73 101.31 16 135165 2016 11234764
Front 9.85 9.38 192.35 78.49 6 322959 890 1008681
Front -12.28 7.58 164.74 80.76 3 353324 500 203846
Top 10.83 -19.21 119.42 26.10 12 336089 1586 5717798
Front 6.61 11.34 188.36 76.01 1 304218 200 20421
Bottom -15.72 9.49 31.10 157.80 7 324083 1012 1540910
Bottom 16.79 -9.52 209.55 156.78 11 306434 1475 4624883
Right -33.30 23.01 233.50 67.65 1 95827 200 17241
Back -11.91 22.70 345.17 64.01 5 265572 765 693260
Right -17.38 -5.41 248.88 96.40 25 276643 2924 35891431
Bottom -4.56 2.85 31.99 173.19 7 381089 1012 1507708
Back -30.03 -27.46 326.28 116.91 1 334821 200 16005
Bottom -6.03 -5.97 315.30 169.33 4 365518 635 401873
Right -25.31 2.51 240.64 87.22 11 108172 1475 4153770
Top 16.20 26.48 238.54 34.60 3 352368 500 180502
Front 32.27 -7.86 215.64 98.08 1 404010 200 23277
Front -38.60 -11.63 139.38 101.10 4 170979 635 445278
Front -0.42 7.82 179.46 80.15 1 309988 200 23026
Right -20.01 28.50 246.03 59.94 6 382412 890 973961
Back -9.58 26.33 347.98 60.22 8 294648 1131 2225081
Back 18.58 4.53 22.43 84.68 4 138665 635 362974
Top 5.56 -6.04 132.64 10.34 14 373513 1804 8108676
Left -36.63 1.53 50.86 88.48 1 246742 200 19296
Front 34.30 44.35 217.32 51.91 2 199910 356 105647
Left 2.83 38.16 93.60 49.76 12 357584 1586 6096049
Right -0.58 16.04 269.26 70.38 7 321586 1012 1538478
Left 11.02 25.55 103.77 61.13 2 182282 356 94944
Bottom 12.05 33.86 109.59 141.38 9 264388 1248 2480122
Bottom -27.71 -16.76 328.84 144.26 1 345074 200 21743
Right 3.09 -18.55 273.93 112.36 5 243449 765 631549
Front 3.76 -15.36 184.78 108.79 4 265847 635 429566
Top 36.64 41.35 228.46 50.83 12 172550 1586 5928946
Top 12.33 -26.44 115.00 32.95 1 122512 200 16519
Bottom 1.02 -13.80 265.78 162.90 3 410674 500 176528
Bottom 36.85 -4.95 187.65 140.44 14 155796 1804 7757231
Left 21.88 15.83 115.93 72.44 1 315903 200 20931
Left 30.11 -19.64 123.79 109.94 3 250444 500 249521
Back 29.28 -3.83 33.05 94.08 2 174790 356 99900
Right 25.71 -5.19 299.74 95.71 17 354973 2120 12895176
Bottom -2.56 -4.47 299.79 173.46 2 288080 356 116292
Back 26.38 -1.81 30.38 91.98 4 374170 635 440476
Back 16.86 9.80 20.53 78.48 4 351848 635 428983
Left 33.68 -8.94 126.81 99.04 1 377073 200 21630
Front -16.79 -2.17 159.54 92.58 4 295986 635 447188
Back -5.43 13.19 353.13 73.77 14 159513 1804 8777489
Right -30.14 -21.49 236.18 111.64 15 2000 1910 174458791
