Face X Y Equat Polar Type Distance(pc) Radius(pc) NumStars Mass(Mo) BHMass(Mo)
Front 32.03 -40.70 215.44 126.38 SBa 29577 99 940 602358 363
Front -16.93 30.33 159.38 57.75 S0 7898 100 1110 519063 244
Left -12.91 -14.30 74.00 106.99 cD 26065 219 1942 5352723 1216
Left -8.53 -17.21 79.26 110.59 Sa 26624 83 961 409246 269
Left -12.16 -11.54 74.88 103.90 SBc 24548 70 955 350941 304
Left -10.63 -11.34 76.71 103.78 E5 24735 93 1001 513841 421
Left -16.02 -13.16 70.40 105.40 Sc 24904 72 842 376980 330
Left -16.00 -17.91 70.42 110.56 Sa 26767 78 1167 549550 430
Left -17.02 -11.64 69.28 103.60 Sc 26112 77 760 344722 225
Left -13.87 -9.14 72.86 100.99 Sa 27233 92 1026 515600 329
Left -15.22 -10.08 71.32 101.99 SBb 26795 75 1052 453634 387
Left -11.99 -10.18 75.08 102.33 SBc 25777 78 860 368562 264
Left -11.56 -14.16 75.59 106.95 SBb 28131 94 1063 592038 343
Left -15.88 -11.57 70.56 103.63 SBc 27911 81 875 375296 251
Left -14.39 -13.48 72.26 105.92 E3 25002 144 1242 1615958 498
Left -11.66 -17.43 75.48 110.55 Sc 27986 76 803 338330 254
Left -8.69 -17.47 79.07 110.87 SBa 26476 105 1036 682681 388
Left -11.01 -10.35 76.25 102.60 SBc 25980 74 921 380743 283
Left -15.52 -18.12 70.98 110.84 SBb 26846 98 1103 653983 434
Left -12.61 -14.35 74.34 107.07 SBa 25600 104 958 668602 339
Left -9.40 -12.63 78.20 105.36 S0 28125 86 1041 370052 203
Left -13.42 -17.83 73.39 110.79 Sb 26529 74 1009 446830 395
Left -8.64 -14.10 79.13 107.10 SBc 26623 77 907 325409 279
Left -17.57 -18.50 68.68 110.96 SBb 24993 102 802 587873 263
Left -15.23 -20.01 71.30 112.84 SBa 27061 90 1206 600386 354
Left -17.91 -13.13 68.30 105.17 Sc 27893 68 897 316588 273
Left -9.09 -15.71 78.58 108.89 SBa 27673 99 1070 635303 368
Left -14.13 -10.55 72.57 102.61 SBb 26864 85 756 392839 282
Front 15.26 -19.85 198.73 112.68 E4 23786 109 1102 777549 428
Front 16.29 -19.39 199.90 112.06 SBa 24017 76 1037 437743 340
Front 15.17 -19.05 198.63 111.86 Sb 23332 61 904 345064 306
Front 15.81 -20.38 199.36 113.13 SBa 23405 87 1062 560057 412
Front 14.73 -20.84 198.13 113.75 SBc 23381 79 921 362568 324
Right -24.54 -7.28 241.40 98.09 cD 2000 232 2168 6427244 1411
Right -33.20 -8.43 233.58 98.57 S0 3700 95 1139 469739 277
Front 25.33 -7.72 209.37 98.50 SBb 3006 88 995 548868 453
Front 20.92 -1.38 204.94 91.59 SBa 965 92 843 453822 272
Right -29.66 7.38 236.61 82.20 Sc 2724 66 761 298312 244
Front 7.95 -29.14 190.02 122.52 SBb 1386 82 1009 475525 413
Right -5.12 18.67 263.50 67.60 SBb 1914 84 953 431968 322
Right -24.90 12.58 241.04 76.25 SBa 1085 76 1237 464429 372
Bottom 29.90 -36.01 230.29 133.88 SBb 2983 82 1111 518273 398
Right 2.85 1.19 273.62 88.49 Sa 2951 79 1154 515245 327
Right 5.81 1.49 277.36 88.11 SBc 2998 72 808 299978 244
Front 32.25 8.96 215.63 80.81 SBa 2178 93 1103 541882 437
Top 43.96 38.26 221.03 52.32 Sb 1775 80 717 308841 218
Front 31.93 -17.24 215.35 107.35 SBa 3011 72 1049 454558 391
Front -0.00 -0.00 180.00 90.00 SBb 34 77 1008 413822 298
