Face X Y Equat Polar NumGalax Distance(pc) Radius(pc) Mass(Mo)
Top 12.51 24.41 242.87 31.36 10 237554 1363 3656932
Front 15.18 12.14 198.64 75.66 1 303970 200 17769
Front -10.76 -10.90 166.56 103.26 3 245378 500 193750
Right 1.23 -26.20 271.57 120.20 9 240192 1248 2785541
Left -22.92 -25.30 63.01 116.61 1 178697 200 17050
Front -29.14 -12.66 147.07 103.29 1 261250 200 18649
Right 38.59 -23.43 310.62 111.57 6 265118 890 1114281
Back -42.22 38.70 316.83 57.91 3 202966 500 228748
Top -36.82 27.51 323.23 45.60 11 423669 1475 5200550
Right -7.21 5.03 260.90 83.70 1 246052 200 20580
Back -19.59 18.83 336.48 69.00 4 374529 635 404343
Top -22.26 -20.44 42.57 33.88 5 254417 765 667661
Left -41.72 25.62 47.17 67.34 10 159145 1363 3887923
Right 18.11 25.06 291.92 62.67 8 262167 1131 2233359
Right 29.90 20.79 303.60 68.95 13 342529 1696 6833731
Back 4.16 -29.95 5.28 123.54 7 243776 1012 1785454
Right -21.96 -1.41 243.99 91.61 1 424257 200 17834
Left -40.36 -19.01 48.11 107.46 11 281906 1475 5050445
Front 5.87 5.25 187.43 83.41 8 328123 1131 2006317
Left 1.08 -13.67 91.38 106.89 1 319197 200 16241
Top -35.64 -1.62 2.61 38.41 1 139858 200 23396
Bottom -34.12 -25.50 323.23 136.57 1 221985 200 12864
Front -12.66 10.66 164.29 77.15 1 412293 200 20786
Top -4.13 23.66 279.91 28.09 1 187376 200 19746
Left -33.14 -26.37 53.63 115.26 4 380626 635 375892
Bottom 2.25 -0.53 193.36 177.06 1 298732 200 18031
Bottom -4.11 20.70 78.78 154.87 5 377208 765 658199
Right -22.78 -27.98 243.15 119.02 5 355841 765 634603
Bottom 16.04 -24.12 236.38 147.23 2 366128 356 107006
Front 19.14 -22.29 203.05 114.51 3 255564 500 214661
Left -7.21 -42.09 80.90 132.72 5 380283 765 723576
Bottom 13.96 29.90 115.03 143.75 16 362773 2016 11331298
Bottom -11.53 38.95 73.51 137.93 1 428956 200 22168
Top 42.22 -10.02 166.65 43.96 4 223753 635 432342
Left 7.61 30.50 99.60 56.25 2 232674 356 95260
Bottom -38.02 -1.76 357.35 139.78 1 92151 200 20509
Right -30.18 -27.67 236.15 117.05 5 391801 765 806153
Top -26.88 26.35 315.57 39.92 11 114631 1475 4337945
Front -0.56 15.78 179.28 70.68 13 195494 1696 6684545
Top 29.20 -12.33 157.11 35.16 1 414070 200 14806
Left -2.54 -4.55 86.77 95.77 8 351051 1131 2022130
Left -26.89 -20.45 59.14 111.31 5 329778 765 716975
Back -13.59 -7.94 343.20 99.58 32 336047 3592 65458981
Bottom -16.35 -26.59 301.58 145.25 14 374346 1804 8830678
Bottom -4.88 -41.47 276.71 137.14 1 207871 200 17403
Front -26.22 7.09 149.77 82.25 1 193435 200 17296
Front -4.83 -31.70 173.87 125.01 7 249955 1012 1519556
Back -7.98 -29.79 349.95 123.10 2 340863 356 60289
Top 5.24 1.00 190.77 6.76 6 305127 890 1008986
Left 29.61 -6.73 123.34 97.13 17 220736 2120 13789769
Front 8.19 27.52 190.31 58.97 17 304156 2120 13684485
Front -3.40 -22.38 175.68 116.38 5 361862 765 683200
Top -15.53 25.36 301.48 33.45 25 241593 2924 37903765
Left -16.79 -22.08 69.54 114.69 8 170780 1131 1799466
Left 17.99 11.95 111.79 76.15 3 196302 500 218904
Bottom -3.45 -44.31 274.45 135.35 6 325710 890 992047
Top -23.23 38.26 301.27 44.85 11 317912 1475 4515259
Back -28.67 14.62 327.50 74.67 8 345247 1131 1911425
Back -10.75 -2.26 346.56 92.80 20 394251 2428 20582271
Bottom 2.17 2.19 134.84 176.08 26 310057 3021 37944557
Top 36.28 12.88 199.54 40.55 1 324891 200 19959
Right -24.54 -7.28 241.40 98.09 15 2000 1910 210913625
